TABNAME	TCODE	LIFNR	MATNR	ZZMAKER	ZZJSQI	ZZKUBUN	ZZJAPAN	ZZRM_ORIGIN	ZZCATEGORY	ZZPACKING_TYPE	ZZPACKING_SIZE	ZZPACKING_UNIT	ZZINCI_NAME
	ME12	C000002	91100997400	TOHO CHEMICAL INDUSTRY CO.,LTD	Y	4	09974	JP	Polymers	CAN	10	KG	DIMETHYLACRYLAMIDE/SODIUMÿACRYLOYLDIMETHYLTAURATEÿCROSSPOLYMER
	ME12	C000002	91101552300	DAITO KASEI KOGYO CO. LTD.	N	4	15523	JP	Surfactant	BAG	20	KG	TITANIUM?DIOXIDE/ALUMINUM?HYDROXIDE//TRIETHOXYCAPRYLYLSILANE
	ME12	C000002	91101911100	Dai-ichi?Kogyo?Seiyaku?Co.,Ltd.	Y	4	19111	JP	Surfactant	CAN	15	KG	WATER/MICROCRYSTALLINE?CELLULOSE/PHENOXYETHANOL
	ME12	C000002	91100615400	AJINOMOTO CO., INC	Y	4	06154	JP	Surfactant	CAN	20	KG	L-arginine
	ME12	C000002	91100648100	MP GOKYO FOOD & CHEMICAL CO.,LTD	Y	4	06481	JP	Actives	BAG	20	KG	SODIUM BENZOATE
	ME12	C000002	91100582100	MUSASHINO CHEMICAL LABORATORY, LTD	Y	4	05821	JP	Actives	DRUM	20	KG	LACTIC ACID
	ME12	C000002	91100678300	NAGASE CHEMTEX CORPORATION	Y	4	06783	JP	Actives	BAG	20	KG	TRISODIUM EDTA
	ME12	C000002	91100576200	MATSUMOTO CHEMICAL INDUSTRY CO., LTD.	Y	4	05762	JP	Actives	BAG	15	KG	ZINC PHENOLSULFONATE
	ME12	C000002	91100614400	PT.AJINEX INTERNATIONAL - AJINOMOTO	Y	4	06144	ID	Actives	Bag	20	KG	Sodium Glutamate
	ME12	C000002	91100615600	JUNSEI CHEMICAL CO., LTD.	Y	4	06156	JP	Actives	BOX	1	KG	L-Aspartic Acid
